Question,FirstAnswer,SecondAnswer,ThirdAnswer,CorrectAnswer
¿Cuál es el porcentaje de empleados informales en la ciudad?,31.8%,22.30%,51.50%,40.30%
¿Qué porcentaje de marplatenses se tomó vacaciones pagas en el último año?,15.40%,63.40%,21.50%,33.90%
¿Qué porcentaje de firmas industriales del PGP tienen una marca registrada?,35%,45%,70%,65%
¿Cuál es el porcentaje de empresas familiares?,0.45,0.7,0.6,0.75
¿Cuántos litros de cerveza se producen por año?,2 millones,3 millones,8 millones,6 millones
¿Cuántas hectáreas fueron sembradas para la campaña 2015/16 en el PGP?,52.460 Hectareas,54.350 Hectareas,62.200 Hectareas,60.310 Hectareas
¿Qué porcentaje ocupa la superficie sembrada con soja en el PGP?,0.35,0.6,0.65,0.44
¿Cuántos km ocupa el cinturón frutihortícola de la ciudad?,12 Kilómetros,20 Kilómetros,22 Kilómetros,24 Kilómetros
¿Cuáles son los principales cultivos realizados al aire libre en la ciudad?,Acelga; zapallo y choclo,Lechuga; perejil y choclo,Rúcula; perejil y zanahoria,Choclo; lechuga y zanahoria
¿Cuáles son los principales cultivos hortícolas al aire libre y bajo cubierta en la ciudad?,Soja; maíz y girasol,Soja; trigo y cebada,Soja; cebada y girasol,Soja; maíz y trigo
¿Cuántas hectáreas de frutillas implantadas hay en la ciudad?,80 Hectáreas,100 Hectáreas,140 Hectáreas,120 Hectáreas
¿Cuántas hectáreas destinadas al kiwi hay en la ciudad?,230 Hectáreas,250 Hectáreas,290 Hectáreas,300 Hectáreas
¿Cuál es el calado máximo tiene el puerto de la ciudad?,7.8 Metros,8.6 Metros,10.3 Metros,9.1 Metros
¿Qué ancho tiene el canal de acceso del Puerto de la ciudad?,85 Metros,115 Metros,125 Metros,100 Metros
¿Cuál es la principal especie desembarcada en el puerto de la ciudad?,Calamar Illex,Corvina Rubia,Langostinos,Merluza Hubbsi
¿Qué porcentaje del total del Producto Bruto Geográfico representa el Sector de la Construcción?,5.6%,7.6%,8.2%,9.6%
¿Cuántas empresas vinculadas a la construcción hay en nuestra ciudad?,345,467,698,552
¿Qué porcentaje del total de turistas que viene en el año la ciudad; arriba en verano?,53.02%,61.12%,68.15%,50.29%
¿Cuántos días se queda en promedio un turista que visita Mar del Plata?,5.12 Días,7.32 Días,9.12 Días,3.24 Días
¿Qué porcentaje de lo que gasta un turista por día se destina a comida?,17.13%,27.61%,32.45%,20.07%
¿Qué porcentaje de lo que gasta un turista por día se destina a alojamiento?,32.45%,27.61%,20.07%,14.96%
